"","Genus","Export_Region","Reg_count"
"16","Cheirogaleus","Asia",0
"144","Galago","Asia",0
"119","Callimico","Asia",1
"122","","Asia",1
"20","Gorilla","Asia",2
"43","Nycticebus","Asia",2
"117","Presbytis","Asia",2
"14","Rhinopithecus","Asia",4
"112","Daubentonia","Asia",5
"133","Nasalis","Asia",6
"34","Eulemur","Asia",7
"4","Leontopithecus","Asia",9
"94","Mandrillus","Asia",11
"131","Pygathrix","Asia",11
"32","Symphalangus","Asia",13
"29","Nomascus","Asia",14
"59","Cebus","Asia",14
"27","Bunopithecus","Asia",22
"93","Tarsius","Asia",24
"61","Saimiri","Asia",27
"85","Trachypithecus","Asia",30
"42","Varecia","Asia",33
"124","Allochrocebus","Asia",38
"132","Cercocebus","Asia",66
"98","Hylobates","Asia",67
"130","Miopithecus","Asia",72
"6","Saguinus","Asia",73
"22","Pan","Asia",75
"25","Pongo","Asia",75
"36","Lemur","Asia",102
"115","Colobus","Asia",180
"116","Lophocebus","Asia",243
"83","Papio","Asia",358
"52","Callithrix","Asia",400
"69","Cercopithecus","Asia",479
"77","Erythrocebus","Asia",629
"73","Chlorocebus","Asia",2806
"10","Macaca","Asia",445066
